Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_Dead_Num,Scer_Alive_Num,Scer_Dead_Num,Total_Cells,Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Hgui_Alive_Total_Hgui,Scer_Alive_Total_Scer,AliveRatio_Hgui_Scer
3,5,D3,b,1542,420,5,32,1999,0.996767938,0.003232062,0.214067278,0.864864865,0.785932722,0.135135135,308.4
3,5,D4,3824,23164,482,6321,33,30000,0.785619807,0.214380193,0.020383997,0.005193579,0.979616003,0.994806421,3.66461003
3,5,D6,3973,3922,24357,622,1099,30000,0.863116197,0.136883803,0.861310513,0.63858222,0.138689487,0.36141778,6.305466238
3,5,E1,3842,2736,17861,5343,4060,30000,0.338655774,0.661344226,0.867165121,0.431777092,0.132834879,0.568222908,0.51207187
3,5,E3,3324m,7354,4045,16600,2001,30000,0.307005093,0.692994907,0.354855689,0.107574862,0.645144311,0.892425138,0.443012048
3,5,E5,3905,7787,8415,8480,5318,30000,0.478699207,0.521300793,0.519380323,0.385418177,0.480619677,0.614581823,0.918278302
3,5,F2,3905,18448,17085,10138,6123,51794,0.645350871,0.354649129,0.480820646,0.376545108,0.519179354,0.623454892,1.819688301
3,5,F4,3822,3471,18458,5142,2929,30000,0.402995472,0.597004528,0.841716449,0.362904225,0.158283551,0.637095775,0.675029172
3,5,F6,3984,3053,25305,32,1610,30000,0.989627229,0.010372771,0.892340786,0.980511571,0.107659214,0.019488429,95.40625
3,5,G1,3850,19211,10669,62,58,30000,0.996783064,0.003216936,0.35706158,0.483333333,0.64293842,0.516666667,309.8548387
3,5,G3,3324a,843,1457,19719,7981,30000,0.040997957,0.959002043,0.633478261,0.288122744,0.366521739,0.711877256,0.042750647
3,5,G5,3911,11975,12465,3022,2538,30000,0.798493032,0.201506968,0.51002455,0.45647482,0.48997545,0.54352518,3.962607545
3,5,H1,3324a,1421,1593,16400,10586,30000,0.079737388,0.920262612,0.52853351,0.392277477,0.47146649,0.607722523,0.086646341
3,5,H2,3852,11123,8081,43,10753,30000,0.996149024,0.003850976,0.42079775,0.996017043,0.57920225,0.003982957,258.6744186
3,5,H3,b,728,1271,1,0,2000,0.998628258,0.001371742,0.635817909,0,0.364182091,1,728
3,5,H4,3821,4859,14208,6781,4152,30000,0.417439863,0.582560137,0.745161798,0.379767676,0.254838202,0.620232324,0.716560979
3,5,H6,3324m,9349,8871,7468,4312,30000,0.555925552,0.444074448,0.486882547,0.366044143,0.513117453,0.633955857,1.251874665
1,6,A1,3324a,1077,2639,14645,11639,30000,0.068502735,0.931497265,0.710172228,0.442816923,0.289827772,0.557183077,0.073540457
1,6,A3,3911,10211,13689,3966,2134,30000,0.720251111,0.279748889,0.572761506,0.349836066,0.427238494,0.650163934,2.574634392
1,6,A5,3824,7324,13539,4103,5034,30000,0.640938129,0.359061871,0.648947898,0.5509467,0.351052102,0.4490533,1.78503534
1,6,A6,3984,13393,8974,167,7466,30000,0.987684366,0.012315634,0.401216077,0.978121315,0.598783923,0.021878685,80.19760479
1,6,B2,3905,6586,18351,2897,2166,30000,0.694505958,0.305494042,0.735894454,0.427809599,0.264105546,0.572190401,2.273386262
1,6,B4,3324m,13045,32469,12349,5829,63692,0.513704025,0.486295975,0.713384893,0.320662339,0.286615107,0.679337661,1.056360839
1,6,B6,3842,5751,10305,10253,3691,30000,0.359347663,0.640652337,0.641816143,0.264701664,0.358183857,0.735298336,0.560909002
1,6,C1,3821,5895,6909,13420,3776,30000,0.30520321,0.69479679,0.539597001,0.21958595,0.460402999,0.78041405,0.439269747
1,6,C3,3920,5523,12263,120,12094,30000,0.978734716,0.021265284,0.689474868,0.990175209,0.310525132,0.009824791,46.025
1,6,C5,3905,16815,11191,1348,646,30000,0.925783186,0.074216814,0.399592944,0.323971916,0.600407056,0.676028084,12.47403561
1,6,D2,3852,3623,9903,97,16377,30000,0.973924731,0.026075269,0.732145498,0.994111934,0.267854502,0.005888066,37.35051546
1,6,D3,b,845,1125,19,11,2000,0.978009259,0.021990741,0.57106599,0.366666667,0.42893401,0.633333333,44.47368421
1,6,D4,3324a,1988,2299,15901,9812,30000,0.111129745,0.888870255,0.536272452,0.381596858,0.463727548,0.618403142,0.125023583
1,6,D6,3911,15703,11575,1470,1252,30000,0.914400512,0.085599488,0.424334629,0.459955915,0.575665371,0.540044085,10.68231293
1,6,E1,3822,8493,9670,5857,5980,30000,0.59184669,0.40815331,0.532401035,0.505195573,0.467598965,0.494804427,1.450059758
1,6,E3,3973,2745,16666,3692,6897,30000,0.426440889,0.573559111,0.858585338,0.651336292,0.141414662,0.348663708,0.743499458
1,6,E5,3852,12974,11621,40,5365,30000,0.996926387,0.003073613,0.472494409,0.992599445,0.527505591,0.007400555,324.35
1,6,F2,3850,45471,54543,143,1273,101430,0.996864998,0.003135002,0.54535365,0.899011299,0.45464635,0.100988701,317.979021
1,6,F4,3821,11806,8886,6683,2625,30000,0.638541836,0.361458164,0.42944133,0.282015471,0.57055867,0.717984529,1.766571899
1,6,F6,3920,201,246,50,29503,30000,0.800796813,0.199203187,0.55033557,0.998308124,0.44966443,0.001691876,4.02
1,6,G1,3824,5163,21739,1754,1344,30000,0.746421859,0.253578141,0.808081184,0.433828276,0.191918816,0.566171724,2.943557583
1,6,G3,3984,14402,9949,93,5556,30000,0.993583994,0.006416006,0.408566383,0.983536909,0.591433617,0.016463091,154.8602151
1,6,G5,3850,10734,17965,236,1065,30000,0.978486782,0.021513218,0.625979999,0.818601076,0.374020001,0.181398924,45.48305085
1,6,H1,3324m,13659,9110,6044,1187,30000,0.693244684,0.306755316,0.400105406,0.164154335,0.599894594,0.835845665,2.259927201
1,6,H2,3842,16085,7054,4446,2415,30000,0.783449418,0.216550582,0.304853278,0.351989506,0.695146722,0.648010494,3.617858749
1,6,H3,b,458,1503,17,22,2000,0.964210526,0.035789474,0.766445691,0.564102564,0.233554309,0.435897436,26.94117647
1,6,H4,3822,5391,5775,12631,6203,30000,0.299134391,0.700865609,0.517195056,0.329351173,0.482804944,0.670648827,0.426807062
1,6,H6,3973,13116,7144,7643,2097,30000,0.631822342,0.368177658,0.352615992,0.215297741,0.647384008,0.784702259,1.716080073
2,6,A1,3905,2197,12687,10037,5079,30000,0.179581494,0.820418506,0.85239183,0.336001588,0.14760817,0.663998412,0.218890107
2,6,A3,3822,2211,25573,693,1523,30000,0.761363636,0.238636364,0.920421826,0.687274368,0.079578174,0.312725632,3.19047619
2,6,A5,3973,2351,3325,19637,4687,30000,0.106921957,0.893078043,0.585799859,0.192690347,0.414200141,0.807309653,0.119722972
2,6,A6,3852,2458,16576,12,10954,30000,0.9951417,0.0048583,0.870862667,0.998905709,0.129137333,0.001094291,204.8333333
2,6,B2,3821,3680,5198,14440,6682,30000,0.203090508,0.796909492,0.585492228,0.316352618,0.414507772,0.683647382,0.254847645
2,6,B4,3920,1211,3036,30,25723,30000,0.975825947,0.024174053,0.714857547,0.998835087,0.285142453,0.001164913,40.36666667
2,6,B6,3842,2711,23850,1128,2311,30000,0.706173483,0.293826517,0.89793306,0.671997674,0.10206694,0.328002326,2.403368794
2,6,C1,3911,1306,2321,22750,3623,30000,0.05428999,0.94571001,0.639922801,0.137375346,0.360077199,0.862624654,0.057406593
2,6,C3,3824,2006,2951,18892,6151,30000,0.095990047,0.904009953,0.59531975,0.245617538,0.40468025,0.754382462,0.106182511
2,6,C5,3984,4537,6848,603,18012,30000,0.882684825,0.117315175,0.601493193,0.967606769,0.398506807,0.032393231,7.524046434
2,6,D2,3324a,927,1632,14515,12926,30000,0.060031084,0.939968916,0.637749121,0.471046974,0.362250879,0.528953026,0.063864967
2,6,D3,b,556,1339,2,103,2000,0.996415771,0.003584229,0.706596306,0.980952381,0.293403694,0.019047619,278
2,6,D4,3911,8651,7667,9555,4127,30000,0.47517302,0.52482698,0.469849246,0.301637188,0.530150754,0.698362812,0.905389848
2,6,D6,3824,3433,6226,15145,5196,30000,0.184788459,0.815211541,0.644580184,0.255444668,0.355419816,0.744555332,0.22667547
2,6,E1,3920,4568,19613,42,5777,30000,0.990889371,0.009110629,0.811091353,0.992782265,0.188908647,0.007217735,108.7619048
2,6,E3,3842,1859,12800,2470,12871,30000,0.429429429,0.570570571,0.87318371,0.838993547,0.12681629,0.161006453,0.752631579
2,6,E5,3324m,2113,9222,6629,12036,30000,0.241706703,0.758293297,0.813586237,0.64484329,0.186413763,0.35515671,0.318750943
2,6,F2,3324m,3224,22476,1591,2709,30000,0.669574247,0.330425753,0.874552529,0.63,0.125447471,0.37,2.026398492
2,6,F4,3905,4847,5939,14098,5116,30000,0.25584587,0.74415413,0.550621176,0.266264182,0.449378824,0.733735818,0.343807632
2,6,F6,3822,2307,16826,4424,6443,30000,0.342742535,0.657257465,0.879422986,0.592895923,0.120577014,0.407104077,0.521473779
2,6,G1,3973,7568,7580,11832,3020,30000,0.390103093,0.609896907,0.500396092,0.203339618,0.499603908,0.796660382,0.639621366
2,6,G3,3850,13616,16175,44,165,30000,0.996778917,0.003221083,0.542949213,0.789473684,0.457050787,0.210526316,309.4545455
2,6,G5,3324a,1121,1475,15516,11888,30000,0.067379936,0.932620064,0.568181818,0.433805284,0.431818182,0.566194716,0.072248002
2,6,H1,3850,15139,14683,19,159,30000,0.998746536,0.001253464,0.492354638,0.893258427,0.507645362,0.106741573,796.7894737
2,6,H2,3984,3133,19883,861,6123,30000,0.78442664,0.21557336,0.863877303,0.876718213,0.136122697,0.123281787,3.638792102
2,6,H3,b,773,638,14,575,2000,0.982210928,0.017789072,0.452161588,0.9762309,0.547838412,0.0237691,55.21428571
2,6,H4,3852,9302,4814,170,15714,30000,0.982052365,0.017947635,0.341031454,0.989297406,0.658968546,0.010702594,54.71764706
2,6,H6,3821,1519,9153,12726,6602,30000,0.106633907,0.893366093,0.857664918,0.341576987,0.142335082,0.658423013,0.119361936
3,6,A1,3822,16261,11172,1945,622,30000,0.893167088,0.106832912,0.407246747,0.242306194,0.592753253,0.757693806,8.360411311
3,6,A3,3973,2936,24183,1557,1324,30000,0.653460939,0.346539061,0.891736421,0.459562652,0.108263579,0.540437348,1.885677585
3,6,A5,3850,5038,4961,17125,2876,30000,0.227315797,0.772684203,0.496149615,0.14379281,0.503850385,0.85620719,0.294189781
3,6,A6,3821,3466,20111,3833,2590,30000,0.47485957,0.52514043,0.852992323,0.403238362,0.147007677,0.596761638,0.904252544
