Replicate,Day,Well_Num,Culture,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_totalprop,Scer_totalprop,norm_Hgui_totalprop
2,5,H4,3852,408,7783,19197,2508,30000,0.8993333333333333,0.0972,0.8970831832913215
2,6,H4,3852,801,4814,9302,14913,30000,0.47053333333333336,0.5238,0.42390786047023443
2,7,H4,3852,660,4329,7922,16850,30000,0.40836666666666666,0.5836666666666667,0.35205812924166424
2,9,H4,3852,489,2598,4069,22596,30000,0.22223333333333334,0.7695,0.12198726693951796
2,8,H4,3852,477,1727,2635,24988,30000,0.1454,0.8488333333333333,0.04495312676480555
1,5,A1,3324a,8988,741,301,19970,30000,0.03473333333333333,0.9652666666666667,0
1,5,D4,3324a,7724,8725,3123,10428,30000,0.39493333333333336,0.6050666666666666,0.37715961048479985
1,5,F2,3850,6953,114344,151738,373,273408,0.9732048806179775,0.026795119382022472,0.9826584209465402
1,5,G5,3850,288,19798,9895,19,30000,0.9897666666666667,0.010233333333333334,1
2,5,D2,3324a,10882,2822,1723,14573,30000,0.1515,0.8485,0.08919697515304284
2,5,G3,3850,618,14452,14625,305,30000,0.9692333333333333,0.030766666666666668,0.972596326971552
2,5,G5,3324a,10547,1265,803,17385,30000,0.06893333333333333,0.9310666666666667,0
2,5,H1,3850,157,14477,15361,5,30000,0.9946,0.0054,1
3,5,A5,3850,102,25891,3900,107,30000,0.9930333333333333,0.006966666666666667,0.9967730239303844
3,5,G1,3850,58,10669,19211,62,30000,0.996,0.004,1
3,5,G3,3324a,7981,1457,843,19719,30000,0.07666666666666666,0.9233333333333333,0
3,5,H1,3324a,10586,1593,1421,16400,30000,0.10046666666666666,0.8995333333333333,0.02588832487309645
1,6,A1,3324a,11639,2639,1077,14645,30000,0.12386666666666667,0.8761333333333333,0
1,6,D4,3324a,9812,2299,1988,15901,30000,0.1429,0.8571,0.022076003390455214
1,6,F2,3850,1273,54543,45471,143,101430,0.9860396332446022,0.013960366755397812,1
1,6,G5,3850,1065,17965,10734,236,30000,0.9566333333333333,0.043366666666666664,0.965892806836677
2,6,D2,3324a,12926,1632,927,14515,30000,0.0853,0.9147,0
2,6,G3,3850,165,16175,13616,44,30000,0.9930333333333333,0.006966666666666667,0.998862927777574
2,6,G5,3324a,11888,1475,1121,15516,30000,0.08653333333333334,0.9134666666666666,0.0013571507170890985
2,6,H1,3850,159,14683,15139,19,30000,0.9940666666666667,0.005933333333333333,1
3,6,A5,3850,2876,4961,5038,17125,30000,0.3333,0.6667,0.2757379671368329
3,6,G1,3850,43,11189,18733,35,30000,0.9974,0.0026,1
3,6,G3,3324a,11696,1691,723,15890,30000,0.08046666666666667,0.9195333333333333,0
3,6,H1,3324a,13295,1928,1361,13416,30000,0.10963333333333333,0.8903666666666666,0.031808928311763844
1,7,A1,3324a,12579,1691,419,15311,30000,0.07033333333333333,0.9296666666666666,0
1,7,D4,3324a,12899,1736,661,14704,30000,0.0799,0.9201,0.010381132198283698
1,7,F2,3850,772,55681,39929,11,96393,0.9918770035168529,0.008122996483147116,1
1,7,G5,3850,332,19823,9823,22,30000,0.9882,0.0118,0.9960099519579786
2,7,D2,3324a,968,655,494,505,2622,0.43821510297482835,0.5617848970251716,0.3850860537490724
2,7,G3,3850,171,16552,13266,11,30000,0.9939333333333333,0.006066666666666666,1
2,7,G5,3324a,13257,1495,1211,14037,30000,0.0902,0.9098,0
2,7,H1,3850,290,14980,14352,378,30000,0.9777333333333333,0.022266666666666667,0.9820743582177633
3,7,A5,3850,177,27207,2602,14,30000,0.9936333333333334,0.006366666666666666,1
3,7,G1,3850,407,12135,16763,695,30000,0.9632666666666667,0.03673333333333333,0.9654151323032535
3,7,G3,3324a,14748,2328,1140,11784,30000,0.1156,0.8844,0
3,7,H1,3324a,14599,2362,1436,11603,30000,0.1266,0.8734,0.012527998177745714
1,8,A1,3324a,16157,1635,470,11738,30000,0.07016666666666667,0.9298333333333333,0
1,8,D4,3324a,14527,1838,950,12685,30000,0.09293333333333334,0.9070666666666667,0.02489974480495808
1,8,F2,3850,296,18594,10941,169,30000,0.9845,0.0155,1
1,8,G5,3850,1234,20220,6742,1804,30000,0.8987333333333334,0.10126666666666667,0.906197593875319
2,8,G3,3850,1041,17080,11848,31,30000,0.9642666666666667,0.03573333333333333,0.9698430028989873
2,8,G5,3324a,14228,2042,1126,12604,30000,0.1056,0.8944,0
2,8,H1,3850,246,17028,12701,25,30000,0.9909666666666667,0.009033333333333334,1
3,8,A5,3850,236,26583,2994,187,30000,0.9859,0.0141,1
3,8,G1,3850,5022,11284,10800,2894,30000,0.7361333333333333,0.2638666666666667,0.7198040535487248
3,8,G3,3324a,14004,2112,723,13161,30000,0.0945,0.9055,0
3,8,H1,3324a,15461,2519,1748,10272,30000,0.14223333333333332,0.8577666666666667,0.053548724852292263
