Replicate,Day,Well_Num,Culture,Q1_Scer,Scer_Stained,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_Alive_Total_Alive,Per_Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Per_Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Per_Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Per_Scer_Dead_Total_Scer,Scer_Alive_Total_Scer,Per_Scer_Alive_Total_Scer,Hgui_Alive_Total_Hgui,Per_Hgui_Alive_Total_Hgui
1,8,A6,3984,1099,25023,804,2302,1576,24219,30000,0.0610971118433805,6.10971118433805,0.9389028881566195,93.89028881566195,0.593604951005673,59.3604951005673,0.030778654008115764,3.0778654008115764,0.927149529132532,92.7149529132532,0.406395048994327,40.6395048994327
2,9,A6,3852,181,25636,240,3618,565,25396,30000,0.02176341435229768,2.176341435229768,0.9782365856477023,97.82365856477023,0.864929476452307,86.4929476452307,0.00929620017817717,0.929620017817717,0.9836929155207809,98.36929155207808,0.13507052354769306,13.507052354769305
2,8,A6,3852,293,23872,312,4979,856,23560,30000,0.03505897771952818,3.5058977719528177,0.9649410222804718,96.49410222804718,0.8532990574121679,85.32990574121679,0.012911235257603973,1.2911235257603972,0.9749637906062487,97.49637906062488,0.14670094258783206,14.670094258783205
1,9,A6,3984,2671,24052,646,1606,1671,23406,30000,0.06663476492403397,6.663476492403397,0.933365235075966,93.33652350759661,0.49008239243210255,49.008239243210255,0.024173932567451258,2.4173932567451257,0.8758747146652697,87.58747146652696,0.5099176075678975,50.99176075678975
3,5,B2,3920,55,9686,774,15501,4758,8912,30000,0.34806144842721287,34.80614484272129,0.6519385515727871,65.19385515727872,0.7651414186287576,76.51414186287576,0.07945796119494919,7.9457961194949185,0.9148958012524382,91.48958012524382,0.2348585813712424,23.48585813712424
3,6,B2,3920,24,2430,492,24254,3292,1938,30000,0.6294455066921606,62.944550669216056,0.3705544933078394,37.055449330783944,0.8804908153633921,88.04908153633922,0.20048899755501223,20.048899755501225,0.7897310513447433,78.97310513447434,0.11950918463660785,11.950918463660786
3,8,B2,3920,122,25551,813,3687,640,24738,30000,0.02521869335645047,2.521869335645047,0.9747813066435496,97.47813066435495,0.8520915183730067,85.20915183730067,0.03166751061426401,3.166751061426401,0.9635804152222179,96.3580415222218,0.1479084816269933,14.79084816269933
3,7,B2,3920,49,20622,976,7521,1808,19646,30000,0.08427332898294024,8.427332898294024,0.9157266710170597,91.57266710170597,0.8061957337335192,80.61957337335191,0.04721590634221857,4.721590634221857,0.9504136229500266,95.04136229500266,0.19380426626648087,19.380426626648088
2,5,B4,3920,50,17496,4644,9791,4547,12852,31884,0.26133685844014026,26.133685844014025,0.7386631415598598,73.86631415598598,0.6828706932626587,68.28706932626586,0.2646757095634333,26.467570956343327,0.7324746380941525,73.24746380941525,0.31712930673734135,31.712930673734135
2,6,B4,3920,30,25723,3333,3036,1211,22390,30000,0.05131138511080039,5.131138511080039,0.9486886148891996,94.86886148891996,0.7148575465034142,71.48575465034142,0.12942181493418242,12.942181493418243,0.8694132722401273,86.94132722401274,0.28514245349658585,28.514245349658584
2,7,B4,3920,101,20999,1521,5419,3481,19478,30000,0.15161810183370356,15.161810183370356,0.8483818981662964,84.83818981662964,0.6088764044943821,60.88764044943821,0.07208530805687204,7.208530805687204,0.923127962085308,92.3127962085308,0.391123595505618,39.1123595505618
2,9,B4,3920,139,23433,1284,3925,2503,22149,30000,0.10153334415057602,10.153334415057602,0.898466655849424,89.8466655849424,0.6106098319850654,61.060983198506534,0.05447140675377567,5.447140675377566,0.9396317665026303,93.96317665026302,0.38939016801493465,38.939016801493466
2,8,B4,3920,209,20039,1372,5912,3840,18667,30000,0.17061358688408051,17.061358688408053,0.8293864131159195,82.93864131159195,0.6062346185397867,60.62346185397867,0.06775977874357961,6.77597787435796,0.9219182141446068,92.19182141446069,0.3937653814602133,39.376538146021325
